entry_num,url,page_count,pub_year,notes
4736,http://olc1.ohiolink.edu/record=b13718102~S0 ,338,1898,
7619,http://olc1.ohiolink.edu:80/record=b10415170~S0,207,1977,
16800,http://olc1.ohiolink.edu:80/record=b10286953~S0,306,1984,
17971,http://olc1.ohiolink.edu:80/record=b21323845~S0,177,2002,
35,http://olc1.ohiolink.edu:80/record=b10343201~S0,,1934,Pub year is indicating first publish // journal
18904,http://olc1.ohiolink.edu:80/record=b39640673~S0,230,2018,
25684,http://olc1.ohiolink.edu:80/record=b12669683~S0,297,1970,
23306,http://olc1.ohiolink.edu:80/record=b33470620~S0,8,1733,
9900,http://olc1.ohiolink.edu:80/record=b21063991~S0,368,2001,
26748,http://olc1.ohiolink.edu:80/record=b14191797~S0,596,1915,
4152,http://olc1.ohiolink.edu:80/record=b25835308~S0,258,2007,
22798,http://olc1.ohiolink.edu:80/record=b12009293~S0,,1708,Pub year is indicating first publish // journal
23896,http://olc1.ohiolink.edu:80/record=b30902005~S0,225,1962,
26596,http://olc1.ohiolink.edu:80/record=b10430488~S0,774,1969,
15598,http://olc1.ohiolink.edu:80/record=b10403986~S0,391,1978,
25495,http://olc1.ohiolink.edu:80/record=b18265816~S0,32,1976,
17253,http://olc1.ohiolink.edu:80/record=b10415823~S0,161,1975,
16580,http://olc1.ohiolink.edu:80/record=b10686208~S0,223,1980,
4145,http://olc1.ohiolink.edu:80/record=b21577408~S0,198,2002,
27209,http://olc1.ohiolink.edu:80/record=b32983177~S0,640,1930,
3452,http://olc1.ohiolink.edu:80/record=b24231482~S0,188,2005,
7555,http://olc1.ohiolink.edu:80/record=b10434723~S0,435,1963,
10075,http://olc1.ohiolink.edu:80/record=b15123820~S0,190,1915,
14510,http://olc1.ohiolink.edu:80/record=b38724417~S0,638,2017,
7727,http://olc1.ohiolink.edu:80/record=b10399636~S0,366,1907,
11741,http://olc1.ohiolink.edu:80/record=b19857613~S0,187,1943,
5684,http://olc1.ohiolink.edu:80/record=b35410163~S0,233,2013,
14240,http://olc1.ohiolink.edu:80/record=b15538651~S0,149,1965,"Description says 2-unnumbered pages, 149 leaves"
8654,http://olc1.ohiolink.edu:80/record=b29090513~S0,222,2010,
19720,http://olc1.ohiolink.edu:80/record=b10235319~S0,215,1978,
